Toy Name,Tou Url,Price
LEGO Ninjago Legacy Monastery of Spinjitzu 70670 Building Kit,/ip/LEGO-Ninjago-Legacy-Monastery-of-Spinjitzu-70670-Building-Kit/469416319,"Current Price
$79.99
$79.99"
LEGO NINJAGO Coles Speeder Car 71706 Ninja Car Building Kit (52 Pieces),/ip/LEGO-NINJAGO-Cole-s-Speeder-Car-71706-Ninja-Car-Building-Kit-52-Pieces/524320111,"Current Price
$9.79
$9.79"
LEGO NINJAGO Jays Cyber Dragon 71711 Ninja Action Toy Building Kit (518 Pieces),/ip/LEGO-NINJAGO-Jay-s-Cyber-Dragon-71711-Ninja-Action-Toy-Building-Kit-518-Pieces/880102219,"Current Price
$39.99
$39.99"
"LEGO NINJAGO Skull Sorcerers Dragon 71721 Ninja Dragon Building Toy for Kids (1,016 Pieces)",/ip/LEGO-NINJAGO-Skull-Sorcerer-s-Dragon-71721-Ninja-Dragon-Building-Toy-for-Kids-1-016-Pieces/191078779,New
LEGO NINJAGO Empire Dragon 71713 Ninja Hero Building Toy Ages 8 and up (286 Pieces),/ip/LEGO-NINJAGO-Empire-Dragon-71713-Ninja-Hero-Building-Toy-Ages-8-and-up-286-Pieces/212306344,"Current Price
$49.21
$49.21"
LEGO NINJAGO Legacy Kais Fire Dragon 71701 Building Kit (81 Pieces),/ip/LEGO-NINJAGO-Legacy-Kai-s-Fire-Dragon-71701-Building-Kit-81-Pieces/427671890,"Current Price
$15.99
$15.99"
LEGO Ninjago Legacy Samurai Mech 70665 Building Kit with Minifigures,/ip/LEGO-Ninjago-Legacy-Samurai-Mech-70665-Building-Kit-with-Minifigures/137560972,"Current Price
$29.99
$29.99"
LEGO NINJAGO Jay Avatar - Arcade Pod 71715 Mini Arcade Machine Building Kit (47 Pieces),/ip/LEGO-NINJAGO-Jay-Avatar-Arcade-Pod-71715-Mini-Arcade-Machine-Building-Kit-47-Pieces/213295541,"Current Price
$9.89
$9.89"
LEGO NINJAGO Kai Avatar - Arcade Pod 71714 Mini Arcade Machine Building Kit (49 Pieces),/ip/LEGO-NINJAGO-Kai-Avatar-Arcade-Pod-71714-Mini-Arcade-Machine-Building-Kit-49-Pieces/773603212,"Current Price
$9.89
$9.89"
LEGO NINJAGO Fire Stone Mech 71720 Ninja Mech Building Toy for Kids Age 9+ (968 Pieces),/ip/LEGO-NINJAGO-Fire-Stone-Mech-71720-Ninja-Mech-Building-Toy-for-Kids-Age-9-968-Pieces/476007088,New
LEGO NINJAGO Spinjitzu Burst - Cole 70685 Interactive Ninja Building Toy Ages 7+ (48 Pieces),/ip/LEGO-NINJAGO-Spinjitzu-Burst-Cole-70685-Interactive-Ninja-Building-Toy-Ages-7-48-Pieces/655180923,New
LEGO NINJAGO Spinjitzu Burst - Lloyd 70687 Interactive Ninja Building Toy Ages 7+ (48 Pieces),/ip/LEGO-NINJAGO-Spinjitzu-Burst-Lloyd-70687-Interactive-Ninja-Building-Toy-Ages-7-48-Pieces/589641529,New
LEGO Ninjago Movie Green Ninja Mech Dragon 70612 Ninja Dragon Toy,/ip/LEGO-Ninjago-Movie-Green-Ninja-Mech-Dragon-70612-Ninja-Dragon-Toy/322045533,"Current Price
$149.64
$149.64"
LEGO Ninjago The Golden Dragon Building Set 70666 (171 Pieces),/ip/LEGO-Ninjago-The-Golden-Dragon-Building-Set-70666-171-Pieces/878942901,"Current Price
$59.98
$59.98"
LEGO Minifigures THE LEGO NINJAGO MOVIE - 71019 (Includes any one character),/ip/LEGO-Minifigures-THE-LEGO-NINJAGO-MOVIE-71019-Includes-any-one-character/416196666,"Current Price
$8.99
$8.99"
LEGO NINJAGO Lloyd Avatar - Arcade Pod 71716 Mini Arcade Machine Building Kit (48 Pieces),/ip/LEGO-NINJAGO-Lloyd-Avatar-Arcade-Pod-71716-Mini-Arcade-Machine-Building-Kit-48-Pieces/310415006,"Current Price
$14.45
$14.45"
LEGO NINJAGO Spinjitzu Burst - Kai 70686 Interactive Ninja Building Toy Ages 7+ (48 Pieces),/ip/LEGO-NINJAGO-Spinjitzu-Burst-Kai-70686-Interactive-Ninja-Building-Toy-Ages-7-48-Pieces/431372341,New
LEGO Ninjago Kai's Blade Cycle & Zane's Snowmobile 70667,/ip/LEGO-Ninjago-Kai-s-Blade-Cycle-Zane-s-Snowmobile-70667/729569988,"Current Price
$79.99
$79.99"
LEGO Ninjago Lloyd's Journey 70671 Toy Fortress Building Kit (81 Pieces),/ip/LEGO-Ninjago-Lloyd-s-Journey-70671-Toy-Fortress-Building-Kit-81-Pieces/975670273,"Current Price
$34.99
$34.99"
LEGO Ninjago Katana V11 70638,/ip/LEGO-Ninjago-Katana-V11-70638/537888883,"Current Price
$58.98
$58.98"
LEGO Ninjago Fangpyre Mech,/ip/LEGO-Ninjago-Fangpyre-Mech/17768177,"Current Price
$54.99
$54.99"
LEGO Ninjago Green Ninja Mech Dragon Micro Build 30428,/ip/LEGO-Ninjago-Green-Ninja-Mech-Dragon-Micro-Build-30428/233280702,"Current Price
$9.76
$9.76"
LEGO Ninjago Merchant Avatar Jay 30537,/ip/LEGO-Ninjago-Merchant-Avatar-Jay-30537/619470236,"Current Price
$10.97
$10.97"
LEGO Ninjago Legacy Lloyd (Golden Ninja) Minifigure [No Packaging],/ip/LEGO-Ninjago-Legacy-Lloyd-Golden-Ninja-Minifigure-No-Packaging/969270539,"Current Price
$9.99
$9.99"
LEGO Ninjago Spinjitzu Slam - Lloyd 70681 Ninja Building Kit (70 Pieces),/ip/LEGO-Ninjago-Spinjitzu-Slam-Lloyd-70681-Ninja-Building-Kit-70-Pieces/261441241,New
LEGO Ninjago Spinjitzu Lloyd vs. Garmadon 70664,/ip/LEGO-Ninjago-Spinjitzu-Lloyd-vs-Garmadon-70664/593985104,"Current Price
$54.99
$54.99"
LEGO Ninjago Street Race of Snake Jaguar 70639 Ninja Bike Building Set,/ip/LEGO-Ninjago-Street-Race-of-Snake-Jaguar-70639-Ninja-Bike-Building-Set/364900940,"Current Price
$99.99
$99.99"
LEGO Ninjago Jungle Raider 71700 6288942,/ip/LEGO-Ninjago-Jungle-Raider-71700-6288942/990096248,"Current Price
$36.70
$36.70"
LEGO Ninjago Monastery Training 70680,/ip/LEGO-Ninjago-Monastery-Training-70680/412394750,"Current Price
$17.94
$17.94"
LEGO Ninjago Movie Fire Mech 70615 Building Set (944 Pieces),/ip/LEGO-Ninjago-Movie-Fire-Mech-70615-Building-Set-944-Pieces/334504577,"Current Price
$127.99
$127.99"
LEGO Ninjago Stormbringer70652,/ip/LEGO-Ninjago-Stormbringer-70652/399092818,New
LEGO Ninjago Stealthy Swamp Airboat 30426,/ip/LEGO-Ninjago-Stealthy-Swamp-Airboat-30426/897961160,"Current Price
$9.99
$9.99"
